feature num 267 field num 33
WARNING:tensorflow:Variable += will be deprecated. Use variable.assign_add if you want assignment to the variable value or 'x = x + y' if you want a new python Tensor object.
2018-04-22 03:18:54.083857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
loop:715 losses:531.305969238
loop:716 losses:155.851043701
loop:717 losses:342.73828125
loop:718 losses:549.163452148
loop:719 losses:256.422607422
loop:720 losses:53.0915031433
loop:721 losses:54.5875930786
loop:722 losses:44.7529716492
loop:723 losses:58.7082366943
loop:724 losses:203.875823975
loop:725 losses:692.486206055
loop:726 losses:90.8648681641
loop:727 losses:237.18409729
loop:728 losses:101.111038208
loop:729 losses:212.595916748
loop:730 losses:331.440704346
loop:731 losses:438.651397705
loop:732 losses:331.52041626
loop:733 losses:304.850830078
loop:734 losses:379.599945068
loop:735 losses:420.667938232
loop:736 losses:412.461303711
loop:737 losses:161.34803772
loop:738 losses:104.174606323
loop:739 losses:84.0867767334
loop:740 losses:259.898620605
loop:741 losses:105.024612427
loop:742 losses:144.355712891
loop:743 losses:217.208755493
loop:744 losses:222.894104004
loop:745 losses:183.5753479
loop:746 losses:103.438423157
loop:747 losses:58.1445541382
loop:748 losses:135.021362305
loop:749 losses:81.1861419678
loop:751 losses:107.152145386
loop:752 losses:60.6399078369
loop:753 losses:145.765808105
loop:754 losses:70.4324188232
loop:755 losses:69.2925949097
loop:756 losses:85.360824585
loop:757 losses:81.0436019897
loop:758 losses:591.118286133
loop:759 losses:166.932235718
loop:760 losses:191.161621094
loop:761 losses:124.459739685
loop:762 losses:84.1310043335
loop:763 losses:548.352294922
loop:764 losses:289.421142578
loop:765 losses:137.02822876
loop:766 losses:125.921989441
loop:767 losses:304.615509033
loop:768 losses:146.578659058
loop:769 losses:67.1890258789
loop:770 losses:67.1949310303
loop:771 losses:518.868041992
loop:772 losses:41.693321228
loop:773 losses:656.650024414
loop:774 losses:191.81036377
loop:775 losses:281.041229248
loop:776 losses:292.600158691
loop:777 losses:313.363830566
loop:778 losses:250.897583008
loop:779 losses:254.580230713
loop:780 losses:273.039581299
loop:781 losses:344.813110352
loop:782 losses:477.054260254
loop:783 losses:287.843505859
